IID	length	height	eye.dia	caudal.area	pec.length	pec.area	ray
dedup/BAM_01.dedup.bam	53.08	12.24	2.08	39.62	7.12	38.39	10
dedup/BAM_02.dedup.bam	46.45	11.23	1.97	14.82	6.14	28.05	10
dedup/BAM_03.dedup.bam	45.45	10.81	1.82	15.68	6.34	25.31	10
dedup/BAM_04.dedup.bam	53.02	12.56	1.91	55.89	7.9	34.19	10
dedup/BAM_05.dedup.bam	55.96	14.11	2.19	47.3	7.21	46.69	10
dedup/BAM_06.dedup.bam	49.06	11.58	2.14	49.22	6.84	31.11	10
dedup/BAM_07.dedup.bam	50.14	12.38	1.91	30.19	6.37	37.21	10
dedup/BAM_08.dedup.bam	54.41	13.16	2.11	50.62	7.14	33.41	10
dedup/BAM_09.dedup.bam	49.19	12.56	2.04	39.23	7.23	41.59	10
dedup/BAM_10.dedup.bam	55.89	14.05	1.99	46.2	8.01	41.93	10
dedup/BAM_11.dedup.bam	54.06	11.69	2.17	40.3	6.21	29.9	10
dedup/BAM_12.dedup.bam	53.05	12.02	2.16	50.37	7.33	43.8	10
dedup/BAM_13.dedup.bam	46.9	11.76	2.49	39.54	6.23	40.24	10
dedup/BAM_14.dedup.bam	53.54	12.8	2.04	47.1	7.39	45.7	10
dedup/BAM_15.dedup.bam	56.17	12.29	2.03	34.2	8.25	60.12	10
dedup/BAM_16.dedup.bam	52.46	11.51	1.84	32.11	7.46	50.42	10
dedup/BAM_19.dedup.bam	54.67	13.78	1.83	59.91	7.71	57.65	10
dedup/BAM_20.dedup.bam	43.52	11.33	1.93	22.89	6.64	38.02	9
dedup/BAM_21.dedup.bam	48.52	12.04	2.01	51.44	6.75	41.66	9
dedup/BAM_22.dedup.bam	53.85	11.48	2.02	49.94	7.55	56.68	10
dedup/BAM_23.dedup.bam	53.5	12.82	2.13	48.69	6.56	43.58	10
dedup/BAM_24.dedup.bam	59.45	14.53	2.46	69.57	7.9	60.29	10
dedup/BAM_25.dedup.bam	53.44	11.83	1.97	52.55	6.57	43.31	10
dedup/BAM_26.dedup.bam	50.91	12.15	1.89	47.41	7.33	49.04	10
dedup/BAM_27.dedup.bam	52.06	12.38	1.82	39.89	6.4	45.75	10
dedup/BAM_28.dedup.bam	57.49	12.23	2.29	48.01	6.64	43.6	10
dedup/BAM_29.dedup.bam	51.46	11.52	2.06	33.53	5.58	37.39	10
dedup/BAM_30.dedup.bam	49.53	10.74	2.03	28.58	5.8	39.48	10
dedup/BAM_31.dedup.bam	55.63	13.55	2.03	48.51	6.74	44.47	10
dedup/BAM_32.dedup.bam	53.8	12.59	2.1	43.95	5.91	36.76	10
dedup/BAM_33.dedup.bam	51.61	11.54	2.22	44.71	6.15	38.88	10
dedup/BAM_34.dedup.bam	54.67	12.55	2.14	32.96	7.79	56.95	10
dedup/BAM_35.dedup.bam	55.7	12.7	2.25	59.43	7.15	49.39	10
dedup/BAM_36.dedup.bam	56.15	12.48	2.34	31.2	7.52	58.26	10
dedup/BAM_37.dedup.bam	55.42	13.07	2.14	43.42	7.98	54.77	10
dedup/BAM_38.dedup.bam	48.99	11.41	2.15	37.87	6.68	44	10
dedup/BAM_39.dedup.bam	54.02	13.41	2.2	46.81	7.48	55.93	10
dedup/BAM_40.dedup.bam	51.03	12.3	2.08	43.82	7.34	55.43	10
dedup/BAM_41.dedup.bam	56.3	12.03	2.35	62.63	6.22	37.93	10
dedup/BAM_42.dedup.bam	54.7	12.58	2.2	51.93	7.2	52.48	10
dedup/BAM_43.dedup.bam	47.26	11.13	1.87	32.54	7.27	41.53	9
dedup/BAM_44.dedup.bam	47.19	11.51	1.89	46.12	6.6	41.35	9
dedup/BAM_45.dedup.bam	52.81	11.85	1.99	33.78	7.51	52.72	10
dedup/BAM_46.dedup.bam	49.16	11.94	1.92	31.04	7.28	49.63	10
dedup/BAM_47.dedup.bam	57.77	13.67	2.26	47.44	8.09	56.77	10
dedup/BAM_48.dedup.bam	51.98	12.21	2.16	43.19	6.73	48.75	10
dedup/BAM_49.dedup.bam	50.68	11.2	1.88	52.13	5.44	37.87	10
dedup/BAM_50.dedup.bam	52.39	11.24	1.98	46.36	7.9	52.88	10
dedup/BAM_51.dedup.bam	56.15	11.9	1.94	45.62	7.44	50.21	10
dedup/BAM_52.dedup.bam	44.53	10.96	1.78	20.78	6.63	39.8	10
dedup/BAM_53.dedup.bam	47.76	11.76	1.7	30.12	6.69	39.4	10
dedup/BAM_54.dedup.bam	52.64	12.79	2.06	45.18	6.86	47.73	10
dedup/BAM_55.dedup.bam	52.35	12.1	2.03	28.95	7.21	48.57	9
dedup/BAM_56.dedup.bam	47.23	11.39	1.83	41.62	7.62	52.14	10
dedup/BAM_57.dedup.bam	47.84	11.28	1.62	36.16	6.55	39.18	9
dedup/BAM_58.dedup.bam	49.3	12.02	1.76	22.15	6.33	39.46	10
